#omega  DOS(omega)
595.396   0.670772
595.406   0.658982
595.416   0.647506
595.426   0.636332
595.436   0.62545
595.446   0.614851
595.456   0.604524
595.466   0.59446
595.476   0.584652
595.486   0.575089
595.496   0.565766
595.506   0.556673
595.516   0.547803
595.526   0.539149
595.536   0.530705
595.546   0.522463
595.556   0.514418
595.566   0.506563
595.576   0.498893
595.586   0.491401
595.596   0.484083
595.606   0.476934
595.616   0.469947
595.626   0.463119
595.636   0.456445
595.646   0.449919
595.656   0.443539
595.666   0.4373
595.676   0.431197
595.686   0.425227
595.696   0.419387
595.706   0.413672
595.716   0.408079
595.726   0.402604
595.736   0.397245
595.746   0.391998
595.756   0.386861
595.766   0.381829
595.776   0.376902
595.786   0.372075
